No,urls
1,https://www.mycareersfuture.sg/job/data-scientist-panasonic-asia-pacific-a19e1b45f8108c2367d59174ef3b1986
2,https://www.mycareersfuture.sg/job/data-center-electrical-engineer-singapore-google-asia-pacific-d02219a2a3a0b92fa27a9815e2e0d9a7
3,https://www.mycareersfuture.sg/job/data-engineer-techcom-solutions-89e6a8b3930b45b66c0eddc4a7912075
4,https://www.mycareersfuture.sg/job/field-operation-executive-nielsen-company-cf2ac74780f44e733d878f720cee10c7
5,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-f610165c50039cc90b8b99566f9b562d
6,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-fff22298cc1653a9ff180d8e54d735c4
7,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-c6c9c5f8a2323967820e6026dbc6b70a
8,https://www.mycareersfuture.sg/job/data-center-remote-hand-support-level-1-red-technologies-1ffa0c9608a99b2edaa374baec111ac0
9,https://www.mycareersfuture.sg/job/mis-executive-powermatic-data-systems-4a452253212277c8b159e26f9afdab13
10,https://www.mycareersfuture.sg/job/embedded-software-engineer-powermatic-data-systems-f55fd4a782d85ac9bb671f5cfeeb11c5
11,https://www.mycareersfuture.sg/job/senior-analyst-workforce-planning-compensation-vertiv-b7ca084dd3079b64e1ffb33e6d3d5366
12,https://www.mycareersfuture.sg/job/pre-sales-engineer-numerix-singapore-f4abce99111623a83c6092aa07fe7d14
13,https://www.mycareersfuture.sg/job/analyst-projects-mis-credit-approval-risk-management-group--dbs-bank-f417cd18d1772826460ba5f407dc9066
14,https://www.mycareersfuture.sg/job/research-associate-nanyang-technological-university-e659e65e3a0d3e50ff59dae5f083f9e7
15,https://www.mycareersfuture.sg/job/marketing-analytics-manager-hooq-digital-103ae4c4c469f0d5b8144fdec327ec0f
16,https://www.mycareersfuture.sg/job/compensation-operations-analyst-google-people-services-singapore-google-asia-pacific-e9c0106a93ab713c6c3b9f10d0049773
17,https://www.mycareersfuture.sg/job/business-analyst-helius-technologies-7db0ad8ed431b193e2a6a45556757d71
18,https://www.mycareersfuture.sg/job/research-assistant-associate-national-university-singapore-7088af4aeef9a03818a4ea502da66d29
19,https://www.mycareersfuture.sg/job/analyst-consumer-insights-nielsen-company-6861677b8e961796f9eb719a2ef3755e
20,https://www.mycareersfuture.sg/job/senior-sap-consultant-meteorite-informatics-38eb8a6926b3a92a899517a1eac6748b
21,https://www.mycareersfuture.sg/job/senior-network-engineer-nibaara-technologies-21200cf6263411be4ebfd228f751fd27
22,https://www.mycareersfuture.sg/job/senior-marketing-executive-neuron-mobility-32607dc283db22037f95c3dfff10c465
23,https://www.mycareersfuture.sg/job/program-manager-product-area-staffing-singapore-google-asia-pacific-2e9a54ea133686dc57d65253d01b1a40
24,https://www.mycareersfuture.sg/job/research-associate-nanyang-technological-university-5403bf805830b7a8851fa947091c474c
25,https://www.mycareersfuture.sg/job/consumer-insights-operations-executive-nielsen-company-77e9920828d10b27ad566dac1b45e939
26,https://www.mycareersfuture.sg/job/field-operations-nielsen-company-2d8938104ab38949cfc61ad57e4dff9b
27,https://www.mycareersfuture.sg/job/consumer-marketing-insights-analyst-lourdes-gavin-400a84eba70d6f0ec2d41ba300cc02c8
28,https://www.mycareersfuture.sg/job/analytical-chemist-lourdes-gavin-87db4091518d7911ff280025bf9ab438
29,https://www.mycareersfuture.sg/job/senior-portfolio-executive-lourdes-gavin-3ae19b320df3e6f6602089f5b669acba
30,https://www.mycareersfuture.sg/job/demand-planning-analyst-lourdes-gavin-3fcba5f2daf3c33a6af72c17d8b6ab8e
31,https://www.mycareersfuture.sg/job/assistant-geologist-stats-asia-pacific-13d0a36528c81ef686fd941ad9afe361
32,https://www.mycareersfuture.sg/job/customer-service-executive-platinum-yoga-d1119d6ed0b12d1a0d835a8f8bfee1ab
33,https://www.mycareersfuture.sg/job/global-talent-consultant-talent-intelligence-insights-singapore-google-asia-pacific-9a484de35628e10baa0c97e8caa6df4e
34,https://www.mycareersfuture.sg/job/senior-research-officer-biotrans-astar-research-entities-d6f2699131eb048c0ee9e0960359abd6
